iso3,gdp_per_capita,gdp_growth,inflation,unemployment,population,population_growth,birth_rate,death_rate,life_expectancy,fertility_rate,internet_users,electricity_access,urban_population_pct,gdp_current_usd,literacy_rate,secondary_enrollment,physicians_per_1000,industry_value_added_pct,agriculture_value_added_pct
TEC,11421.1364427001,1.95197902081506,13.8522590144267,5.62584537984402,460942269,-0.467968565667359,11.984680670147,10.4501249509296,74.1883654842503,1.74847147152068,85.2,99.9954427619778,68.9112783282391,5264484546456.79,99.3284683227539,98.0531005859375,3.71843177913449,30.8110750148446,4.8301194234015
EUU,38066.8844892624,3.56155233245134,8.83369886749452,6.16136079316676,447202673,0.218330558317555,8.68805050894676,11.5197667649227,80.7135056290876,1.45656447411585,,100.0,74.7659603902094,17023612496380.4,,107.638740539551,4.15125312082381,22.8657674703213,1.68287493684909
FCS,1850.91743054769,1.62071663646515,9.39075933985203,5.66963973502859,1036390026,1.89778804715376,31.546689024816,8.8287249861019,62.702271566254,4.22091823482488,34.8,57.9458706435872,45.5264138281595,1918272363969.18,67.3155517578125,47.2565994262695,0.52751400922641,,23.0284794621468
HPC,1121.48387311982,4.87387497765388,9.65914753785069,4.43078249558701,893906294,2.6039305560871,34.5847535900894,7.50594972928001,63.8404458555462,4.54630641313522,,48.7171277289384,36.9472479538651,1002501492801.3,65.8665466308594,41.903938293457,0.200202665629356,26.6647458157565,20.9032859446868
IBD,7699.23258826186,3.77001425774095,9.10437983075437,5.56994264084484,4928196300,0.467464056138187,13.0324836440746,7.23597247089975,74.2512624750087,1.73604166305753,74.4,98.9686574577803,57.7552337954716,37943329554311.5,90.1709823608398,88.6169586181641,1.94046412974585,35.2430390174132,7.92182278840715
IBT,6036.81374407089,3.82613307769597,8.81109209279587,5.38641759178597,6794724390,0.917750690506847,17.7987043199994,7.33110740688071,71.677581962506,2.32447750417006,63.0,89.9613796377975,52.8148643869515,41018485584725.7,85.3785705566406,74.3354263305664,1.55107014441075,34.5345751553544,8.89956084954316
IDB,2234.83616206483,4.79819828416285,6.32752007290448,4.74456534673109,651895919,1.96732800737651,30.1488907502825,8.56462495496463,62.1288641416852,3.95818893362032,36.5,77.0721324965067,47.6330129185198,1456880573683.68,68.5359191894531,47.5066413879395,0.765422848110841,22.2405611649752,23.7688459760193
IDX,1332.31730178708,4.30600397002799,9.57337118555953,4.84321749828202,1214632171,2.19662188245943,30.5085891195887,7.05507205715614,66.3600605315493,3.85211805380653,30.7,60.2901358794059,35.5511339217003,1618275456730.5,70.242057800293,49.1855697631836,0.373015488929292,28.8895693928945,18.4257448845152
IDA,1647.52732460307,4.54563835706816,8.21619710967436,4.80770011659382,1866528090,2.11647988754299,30.3829623474667,7.58229228966599,64.8822902939527,3.88843955889292,32.8,66.1569043335558,39.7708012570462,3075156030414.18,69.3554229736328,48.4808082580566,0.511390512085274,25.7378382208979,20.9590741339581
LTE,12286.0846812169,3.28700376545592,8.64091108973855,5.19342173027057,2323799591,0.158140021760577,8.79994735263711,7.81431572087116,76.9543256667468,1.29483420285217,,99.4771148303382,66.5775786046606,28550398557203.3,96.6117477416992,93.5337371826172,2.93965818365123,36.2151811149684,6.28832485779069
